ts,name,cpu,mem
14:31:00,lucky-star-rank-service,20.28%,630.6MiB / 15.47GiB
14:31:00,lucky-star-notification-service,18.75%,343.7MiB / 15.47GiB
14:31:00,lucky-star-kafka-ui,0.12%,290.9MiB / 15.47GiB
14:31:00,lucky-star-postgres,101.49%,779.8MiB / 15.47GiB
14:31:00,lucky-star-redis,18.48%,14.42MiB / 15.47GiB
14:31:00,lucky-star-kafka,84.18%,1.236GiB / 15.47GiB
14:31:00,lucky-star-mysql,22.90%,599.3MiB / 15.47GiB
14:31:00,lucky-star-grafana,0.07%,57.82MiB / 15.47GiB
14:31:00,lucky-star-prometheus,2.28%,74.92MiB / 15.47GiB
14:31:00,lucky-star-zookeeper,0.13%,134.7MiB / 15.47GiB
14:31:02,lucky-star-wallet-service,396.55%,646.9MiB / 15.47GiB
14:31:02,lucky-star-gateway-service,81.98%,522.3MiB / 15.47GiB
14:31:02,lucky-star-game-service,179.20%,996.9MiB / 15.47GiB
14:31:02,lucky-star-member-service,0.41%,701.1MiB / 15.47GiB
14:31:02,lucky-star-admin-service,30.45%,661.1MiB / 15.47GiB
14:31:02,lucky-star-rank-service,17.65%,631.1MiB / 15.47GiB
14:31:02,lucky-star-notification-service,18.52%,343.7MiB / 15.47GiB
14:31:02,lucky-star-kafka-ui,0.11%,290.9MiB / 15.47GiB
14:31:02,lucky-star-postgres,86.67%,784.3MiB / 15.47GiB
14:31:02,lucky-star-redis,17.62%,13.29MiB / 15.47GiB
14:31:02,lucky-star-kafka,133.25%,1.272GiB / 15.47GiB
14:31:02,lucky-star-mysql,17.67%,599.8MiB / 15.47GiB
14:31:02,lucky-star-grafana,0.07%,57.82MiB / 15.47GiB
14:31:02,lucky-star-prometheus,0.44%,75.16MiB / 15.47GiB
14:31:02,lucky-star-zookeeper,0.09%,134.7MiB / 15.47GiB
14:31:04,lucky-star-wallet-service,344.18%,653.8MiB / 15.47GiB
14:31:04,lucky-star-gateway-service,84.27%,522.4MiB / 15.47GiB
14:31:04,lucky-star-game-service,210.55%,997.1MiB / 15.47GiB
14:31:04,lucky-star-member-service,2.08%,701.1MiB / 15.47GiB
14:31:04,lucky-star-admin-service,21.79%,660.8MiB / 15.47GiB
14:31:04,lucky-star-rank-service,16.35%,631.1MiB / 15.47GiB
14:31:04,lucky-star-notification-service,19.06%,344.2MiB / 15.47GiB
14:31:04,lucky-star-kafka-ui,0.13%,290.9MiB / 15.47GiB
14:31:04,lucky-star-postgres,98.87%,786MiB / 15.47GiB
14:31:04,lucky-star-redis,16.72%,13.71MiB / 15.47GiB
14:31:04,lucky-star-kafka,124.75%,1.292GiB / 15.47GiB
14:31:04,lucky-star-mysql,22.34%,599.6MiB / 15.47GiB
14:31:04,lucky-star-grafana,0.08%,57.82MiB / 15.47GiB
