ts,name,cpu,mem
14:25:32,lucky-star-zookeeper,0.09%,134.4MiB / 15.47GiB
14:25:34,lucky-star-gateway-service,95.23%,490.9MiB / 15.47GiB
14:25:34,lucky-star-game-service,274.29%,965.6MiB / 15.47GiB
14:25:34,lucky-star-member-service,1.47%,701MiB / 15.47GiB
14:25:34,lucky-star-wallet-service,177.06%,830.7MiB / 15.47GiB
14:25:34,lucky-star-admin-service,30.35%,655.9MiB / 15.47GiB
14:25:34,lucky-star-rank-service,9.96%,629.7MiB / 15.47GiB
14:25:34,lucky-star-notification-service,21.72%,343.4MiB / 15.47GiB
14:25:34,lucky-star-kafka-ui,0.08%,282.3MiB / 15.47GiB
14:25:34,lucky-star-postgres,107.34%,771.2MiB / 15.47GiB
14:25:34,lucky-star-redis,23.38%,12.74MiB / 15.47GiB
14:25:34,lucky-star-kafka,87.10%,1.218GiB / 15.47GiB
14:25:34,lucky-star-mysql,18.20%,593.6MiB / 15.47GiB
14:25:34,lucky-star-grafana,0.06%,52.24MiB / 15.47GiB
14:25:34,lucky-star-prometheus,0.47%,64.96MiB / 15.47GiB
14:25:34,lucky-star-zookeeper,0.11%,134.4MiB / 15.47GiB
14:25:36,lucky-star-gateway-service,99.16%,488.9MiB / 15.47GiB
14:25:36,lucky-star-game-service,263.56%,968.4MiB / 15.47GiB
14:25:36,lucky-star-member-service,0.38%,701MiB / 15.47GiB
14:25:36,lucky-star-wallet-service,144.49%,831.2MiB / 15.47GiB
14:25:36,lucky-star-admin-service,28.19%,656.2MiB / 15.47GiB
14:25:36,lucky-star-rank-service,10.39%,629.7MiB / 15.47GiB
14:25:36,lucky-star-notification-service,17.70%,343.2MiB / 15.47GiB
14:25:36,lucky-star-kafka-ui,0.12%,282.3MiB / 15.47GiB
14:25:36,lucky-star-postgres,96.97%,776MiB / 15.47GiB
14:25:36,lucky-star-redis,19.58%,12.66MiB / 15.47GiB
14:25:36,lucky-star-kafka,152.01%,1.248GiB / 15.47GiB
14:25:36,lucky-star-mysql,20.65%,593.9MiB / 15.47GiB
14:25:36,lucky-star-grafana,0.06%,52.24MiB / 15.47GiB
14:25:36,lucky-star-prometheus,1.69%,65MiB / 15.47GiB
14:25:36,lucky-star-zookeeper,0.09%,134.4MiB / 15.47GiB
14:25:38,lucky-star-gateway-service,95.85%,488.8MiB / 15.47GiB
14:25:38,lucky-star-game-service,256.22%,968.3MiB / 15.47GiB
14:25:38,lucky-star-member-service,0.28%,701MiB / 15.47GiB
14:25:38,lucky-star-wallet-service,133.65%,830.9MiB / 15.47GiB
14:25:38,lucky-star-admin-service,34.75%,656.2MiB / 15.47GiB
14:25:38,lucky-star-rank-service,3.73%,629.9MiB / 15.47GiB
14:25:38,lucky-star-notification-service,22.11%,343.4MiB / 15.47GiB
14:25:38,lucky-star-kafka-ui,0.10%,282.3MiB / 15.47GiB
14:25:38,lucky-star-postgres,94.50%,777.5MiB / 15.47GiB
14:25:38,lucky-star-redis,19.35%,13.14MiB / 15.47GiB
14:25:38,lucky-star-kafka,182.63%,1.282GiB / 15.47GiB
14:25:38,lucky-star-mysql,19.00%,593.7MiB / 15.47GiB
14:25:38,lucky-star-grafana,0.17%,52.24MiB / 15.47GiB
14:25:38,lucky-star-prometheus,0.69%,64.73MiB / 15.47GiB
14:25:38,lucky-star-zookeeper,5.85%,134.4MiB / 15.47GiB
14:25:40,lucky-star-gateway-service,105.20%,489.1MiB / 15.47GiB
14:25:40,lucky-star-game-service,256.71%,968.5MiB / 15.47GiB
14:25:40,lucky-star-member-service,0.43%,701.3MiB / 15.47GiB
14:25:40,lucky-star-wallet-service,144.17%,830.6MiB / 15.47GiB
14:25:40,lucky-star-admin-service,30.20%,655.7MiB / 15.47GiB
14:25:40,lucky-star-rank-service,12.25%,629.9MiB / 15.47GiB
14:25:40,lucky-star-notification-service,70.98%,347.6MiB / 15.47GiB
14:25:40,lucky-star-kafka-ui,0.10%,282.3MiB / 15.47GiB
14:25:40,lucky-star-postgres,101.94%,779.8MiB / 15.47GiB
14:25:40,lucky-star-redis,20.41%,13.11MiB / 15.47GiB
14:25:40,lucky-star-kafka,111.15%,1.219GiB / 15.47GiB
14:25:40,lucky-star-mysql,22.00%,594.3MiB / 15.47GiB
14:25:40,lucky-star-grafana,0.08%,52.24MiB / 15.47GiB
14:25:40,lucky-star-prometheus,2.67%,65.46MiB / 15.47GiB
14:25:40,lucky-star-zookeeper,0.10%,134.4MiB / 15.47GiB
14:25:42,lucky-star-gateway-service,83.70%,489MiB / 15.47GiB
14:25:42,lucky-star-game-service,366.67%,982.5MiB / 15.47GiB
14:25:42,lucky-star-member-service,0.44%,701MiB / 15.47GiB
14:25:42,lucky-star-wallet-service,131.80%,831.3MiB / 15.47GiB
14:25:42,lucky-star-admin-service,39.05%,656.1MiB / 15.47GiB
14:25:42,lucky-star-rank-service,9.04%,629.4MiB / 15.47GiB
14:25:42,lucky-star-notification-service,21.42%,343.6MiB / 15.47GiB
14:25:42,lucky-star-kafka-ui,0.10%,282.3MiB / 15.47GiB
14:25:42,lucky-star-postgres,92.51%,784MiB / 15.47GiB
14:25:42,lucky-star-redis,18.81%,12.66MiB / 15.47GiB
14:25:42,lucky-star-kafka,87.49%,1.219GiB / 15.47GiB
