ts,name,cpuPct,mem
2026-07-23T12:05:25,lucky-star-kafka,2.25%,954.4MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-mysql,3.24%,509.2MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-grafana,0.05%,52.21MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-prometheus,0.47%,64.7MiB / 15.47GiB
2026-07-23T12:05:25,lucky-star-zookeeper,0.10%,133.4MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-gateway-service,0.21%,463.2MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-game-service,0.73%,675.5MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-member-service,0.48%,586.8MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-wallet-service,1.35%,749.4MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-admin-service,0.43%,603.5MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-rank-service,1.43%,509.5MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-notification-service,3.06%,329.4MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-kafka-ui,0.09%,265.4MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-postgres,0.26%,383.6MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-redis,0.43%,9.211MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-kafka,3.44%,953.5MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-mysql,1.03%,508.4MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-grafana,0.07%,52.21MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-prometheus,0.51%,64.74MiB / 15.47GiB
2026-07-23T12:05:33,lucky-star-zookeeper,0.10%,133.4MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-gateway-service,0.19%,463.7MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-game-service,0.34%,675.8MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-member-service,0.52%,586.8MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-wallet-service,2.07%,749.5MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-admin-service,0.47%,603.3MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-rank-service,2.75%,510.8MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-notification-service,0.74%,328.9MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-kafka-ui,0.13%,265.4MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-postgres,0.09%,383.5MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-redis,0.33%,8.473MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-kafka,4.67%,954.7MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-mysql,0.77%,507.8MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-grafana,0.11%,52.21MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-prometheus,0.00%,64.19MiB / 15.47GiB
2026-07-23T12:05:39,lucky-star-zookeeper,0.10%,133.4MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-gateway-service,0.19%,463.4MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-game-service,0.16%,675MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-member-service,0.51%,586.3MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-wallet-service,2.12%,749.6MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-admin-service,0.41%,604.6MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-rank-service,1.34%,510.2MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-notification-service,0.47%,329.6MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-kafka-ui,0.09%,265.4MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-postgres,0.07%,382.9MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-redis,0.22%,8.473MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-kafka,2.96%,953.9MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-mysql,4.99%,508.7MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-grafana,0.04%,52.21MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-prometheus,1.42%,65.54MiB / 15.47GiB
2026-07-23T12:05:47,lucky-star-zookeeper,0.10%,133.8MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-gateway-service,0.16%,462.9MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-game-service,1.63%,676MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-member-service,0.34%,586.6MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-wallet-service,22.52%,750.3MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-admin-service,0.50%,603.7MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-rank-service,0.90%,509.7MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-notification-service,0.82%,330.5MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-kafka-ui,0.09%,265.4MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-postgres,0.20%,383MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-redis,0.29%,8.223MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-kafka,5.34%,954.6MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-mysql,0.72%,507.6MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-grafana,0.15%,52.46MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-prometheus,0.65%,65.18MiB / 15.47GiB
2026-07-23T12:05:54,lucky-star-zookeeper,2.88%,134.2MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-gateway-service,1.51%,463.7MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-game-service,0.84%,675.9MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-member-service,1.20%,586.9MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-wallet-service,1.70%,749.7MiB / 15.47GiB
